PLMN;SYSTEM;XCI;xNBID;LOCAL_CID;LAC/TAC;PCI/PSC/BSIC;ARFCN;BAND;RSSI;RSRP/RSCP;RSRQ/ECIO;SNR;CQI;TA;DISTANCE;DELTA_AZI;LAT;LON;SPEED;GPS_ACCURACY;UL;DL;BANDWIDTH;BANDWIDTHS;CA;NR_STATE;NARFCN;NR_BAND;NR_PCI;NR_SS_RSRP;NR_SS_RSRQ;NR_SS_SINR;NR_CSI_RSRP;NR_CSI_RSRQ;NR_CSI_SINR;CLF_LABEL;CLF_LOC;CLF_DESC;DATE;TIME;ROAMING
44011;4;71726856;280183;8;211;251;1575;1800 B3;-65;-92;-6;1.0;;;;;35.698181;139.773952;0;25;22;120;5000;5;1;none;;;;;;;;;;--;--;Cell not found in the clf database!;2022/12/07;09:07:16;HOME
44011;4;71726856;280183;8;211;251;1575;1800 B3;-65;-92;-6;1.0;;56;;;35.698181;139.773952;0;25;11;9;5000;5;1;none;;;;;;;;;;--;--;Cell not found in the clf database!;2022/12/07;09:07:17;HOME
44011;4;71726856;280183;8;211;251;1575;1800 B3;-65;-92;-6;1.0;;56;;;35.698181;139.773952;0;25;69;27;5000;5;1;none;;;;;;;;;;--;--;Cell not found in the clf database!;2022/12/07;09:07:18;HOME
44011;4;71726856;280183;8;211;251;1575;1800 B3;-65;-91;-7;1.0;;56;;;35.698182;139.773953;0;26;31;37;5000;5;1;none;;;;;;;;;;--;--;Cell not found in the clf database!;2022/12/07;09:07:19;HOME
44011;4;71726856;280183;8;211;251;1575;1800 B3;-65;-91;-7;1.0;;56;;;35.698182;139.773953;0;26;22;14;5000;5;1;none;;;;;;;;;;--;--;Cell not found in the clf database!;2022/12/07;09:07:20;HOME
44011;4;71726856;280183;8;211;251;1575;1800 B3;-65;-93;-8;1.0;;56;;;35.698182;139.773953;0;26;109;817;5000;5;1;none;;;;;;;;;;--;--;Cell not found in the clf database!;2022/12/07;09:07:21;HOME
44011;4;71726856;280183;8;211;251;1575;1800 B3;-65;-93;-8;1.0;;56;;;35.698182;139.773953;0;26;12;104;5000;5;1;none;;;;;;;;;;--;--;Cell not found in the clf database!;2022/12/07;09:07:22;HOME
44011;4;71726856;280183;8;211;251;1575;1800 B3;-65;-97;-8;1.0;;56;;;35.698182;139.773953;0;26;0;0;5000;5;1;none;;;;;;;;;;--;--;Cell not found in the clf database!;2022/12/07;09:07:23;HOME
44011;4;71726856;280183;8;211;251;1575;1800 B3;-65;-97;-8;1.0;;56;;;35.698182;139.773953;0;26;17;0;5000;5;1;none;;;;;;;;;;--;--;Cell not found in the clf database!;2022/12/07;09:07:24;HOME
44011;4;71726856;280183;8;211;251;1575;1800 B3;-65;-97;-8;1.0;;56;;;35.698182;139.773953;0;26;14;26;5000;5;1;none;;;;;;;;;;--;--;Cell not found in the clf database!;2022/12/07;09:07:25;HOME
44011;4;71726856;280183;8;211;251;1575;1800 B3;-65;-99;-10;1.0;;56;;;35.698210;139.773967;2;68;0;0;5000;5;1;none;;;;;;;;;;--;--;Cell not found in the clf database!;2022/12/07;09:07:26;HOME
44011;4;71726856;280183;8;211;251;1575;1800 B3;-65;-99;-10;1.0;;56;;;35.698210;139.773967;2;68;0;0;5000;5;1;none;;;;;;;;;;--;--;Cell not found in the clf database!;2022/12/07;09:07:27;HOME
44011;4;71726856;280183;8;211;251;1575;1800 B3;-65;-99;-10;1.0;;56;;;35.698210;139.773967;2;68;1;2;5000;5;1;none;;;;;;;;;;--;--;Cell not found in the clf database!;2022/12/07;09:07:28;HOME
44011;4;71726856;280183;8;211;251;1575;1800 B3;-65;-99;-8;1.0;;56;;;35.698210;139.773967;2;68;0;0;5000;5;1;none;;;;;;;;;;--;--;Cell not found in the clf database!;2022/12/07;09:07:29;HOME
